epsilon,rep,race,n,Accuracy
20.0,6,Caucasian,14970,0.5331997327989312
20.0,6,Hispanic,410,0.5195121951219512
20.0,6,Other,295,0.6135593220338983
20.0,7,AfricanAmerican,3821,0.5393875948704527
20.0,7,Asian,115,0.6782608695652174
20.0,7,Caucasian,14970,0.5415497661990648
20.0,7,Hispanic,410,0.573170731707317
20.0,7,Other,295,0.6305084745762712
20.0,8,AfricanAmerican,3821,0.535200209369275
20.0,8,Asian,115,0.5739130434782609
20.0,8,Caucasian,14970,0.5468937875751503
20.0,8,Hispanic,410,0.6073170731707317
20.0,8,Other,295,0.6033898305084746
20.0,9,AfricanAmerican,3821,0.5236848992410363
20.0,9,Asian,115,0.5043478260869565
20.0,9,Caucasian,14970,0.5201068804275217
20.0,9,Hispanic,410,0.4829268292682926
20.0,9,Other,295,0.5084745762711864
20.0,10,AfricanAmerican,3821,0.5281339963360376
20.0,10,Asian,115,0.6173913043478261
20.0,10,Caucasian,14970,0.5447561790247161
20.0,10,Hispanic,410,0.5609756097560976
20.0,10,Other,295,0.5796610169491525
20.0,11,AfricanAmerican,3821,0.543836691965454
20.0,11,Asian,115,0.6086956521739131
20.0,11,Caucasian,14970,0.5410153640614562
20.0,11,Hispanic,410,0.5658536585365853
20.0,11,Other,295,0.5423728813559322
20.0,12,AfricanAmerican,3821,0.5503794818110442
20.0,12,Asian,115,0.6086956521739131
20.0,12,Caucasian,14970,0.539746158984636
20.0,12,Hispanic,410,0.5560975609756098
20.0,12,Other,295,0.576271186440678
20.0,13,AfricanAmerican,3821,0.5354619209630986
20.0,13,Asian,115,0.6434782608695652
20.0,13,Caucasian,14970,0.5350701402805611
20.0,13,Hispanic,410,0.5780487804878048
20.0,13,Other,295,0.6271186440677966
20.0,14,AfricanAmerican,3821,0.5362470557445694
20.0,14,Asian,115,0.6086956521739131
20.0,14,Caucasian,14970,0.5478957915831664
20.0,14,Hispanic,410,0.6073170731707317
20.0,14,Other,295,0.5491525423728814
20.0,15,AfricanAmerican,3821,0.5273488615545668
20.0,15,Asian,115,0.6782608695652174
20.0,15,Caucasian,14970,0.5360721442885772
20.0,15,Hispanic,410,0.573170731707317
20.0,15,Other,295,0.5288135593220339
20.0,16,AfricanAmerican,3821,0.5406961528395708
20.0,16,Asian,115,0.6521739130434783
20.0,16,Caucasian,14970,0.5503006012024048
20.0,16,Hispanic,410,0.6073170731707317
20.0,16,Other,295,0.6135593220338983
20.0,17,AfricanAmerican,3821,0.5375556137136875
20.0,17,Asian,115,0.6782608695652174
20.0,17,Caucasian,14970,0.536940547762191
20.0,17,Hispanic,410,0.5585365853658537
20.0,17,Other,295,0.6203389830508474
20.0,18,AfricanAmerican,3821,0.5399110180580999
20.0,18,Asian,115,0.6260869565217392
20.0,18,Caucasian,14970,0.5488977955911823
20.0,18,Hispanic,410,0.5975609756097561
20.0,18,Other,295,0.6271186440677966
20.0,19,AfricanAmerican,3821,0.5228997644595655
20.0,19,Asian,115,0.6
20.0,19,Caucasian,14970,0.5382097528390114
20.0,19,Hispanic,410,0.5658536585365853
20.0,19,Other,295,0.5186440677966102
50.0,0,AfricanAmerican,3821,0.5472389426851609
50.0,0,Asian,115,0.6608695652173913
50.0,0,Caucasian,14970,0.5493653974615899
50.0,0,Hispanic,410,0.5756097560975609
50.0,0,Other,295,0.5830508474576271
50.0,1,AfricanAmerican,3821,0.5537817325307511
50.0,1,Asian,115,0.6347826086956522
50.0,1,Caucasian,14970,0.5531730126920508
