escenario,victima,seed,utility_acc,attack_acc,attack_advantage,attack_auc,rate_member_predicted_1,rate_non_member_predicted_1
k=5 + l=5 + t=0.3 (Hard),Regresión Logística,2718,0.6203,0.5623,0.0172,0.5135,0.6696,0.6524
k=5 + l=5 + t=0.3 (Hard),Regresión Logística,3141,0.6203,0.5679,0.0224,0.5119,0.6812,0.6588
k=5 + l=5 + t=0.3 (Hard),Regresión Logística,6022,0.6203,0.5615,0.0136,0.5102,0.6708,0.6572
k=5 + l=5 + t=0.3 (Hard),Regresión Logística,8128,0.6203,0.5509,-0.012,0.4934,0.6648,0.6768
k=5 + l=5 + t=0.3 (Hard),Regresión Logística,9999,0.6203,0.554,-0.0006,0.4995,0.6626,0.6632
k=5 + l=5 + t=0.3 (Hard),Regresión Logística,10007,0.6203,0.5527,-0.0016,0.4986,0.6596,0.6612
k=5 + l=5 + t=0.3 (Hard),Regresión Logística,11113,0.6203,0.5532,0.0006,0.5027,0.659,0.6584
k=5 + l=5 + t=0.3 (Hard),Regresión Logística,13121,0.6203,0.5575,-0.0052,0.5007,0.6776,0.6828
k=5 + l=5 + t=0.3 (Hard),Regresión Logística,17171,0.6203,0.5687,0.0278,0.5128,0.6782,0.6504
k=5 + l=5 + t=0.3 (Hard),Regresión Logística,19273,0.6203,0.5508,-0.0084,0.4887,0.6608,0.6692
k=5 + l=5 + t=0.3 (Hard),Regresión Logística,23131,0.6203,0.5576,0.0094,0.5079,0.6634,0.654
k=5 + l=5 + t=0.3 (Hard),Regresión Logística,29327,0.6203,0.55,-0.0118,0.494,0.6618,0.6736
k=5 + l=5 + t=0.3 (Hard),Regresión Logística,31193,0.6203,0.5624,0.0116,0.5092,0.6756,0.664
k=5 + l=5 + t=0.3 (Hard),Regresión Logística,33391,0.6203,0.5695,0.0266,0.5074,0.6818,0.6552
k=5 + l=5 + t=0.3 (Hard),Regresión Logística,37397,0.6203,0.5519,-0.005,0.5063,0.6606,0.6656
k=5 + l=5 + t=0.3 (Hard),Random Forest,42,0.6293,0.5572,0.0068,0.5043,0.6648,0.658
k=5 + l=5 + t=0.3 (Hard),Random Forest,137,0.6293,0.5601,0.01,0.5064,0.6704,0.6604
k=5 + l=5 + t=0.3 (Hard),Random Forest,271,0.6293,0.5533,-0.0024,0.5056,0.6624,0.6648
k=5 + l=5 + t=0.3 (Hard),Random Forest,314,0.6293,0.5693,0.0232,0.5211,0.6848,0.6616
